0;1274.97900390625
1;1291.61376953125
2;1311.547119140625
3;1400.8193359375
4;1394.994140625
5;1306.99560546875
6;1291.99609375
7;1305.95751953125
8;1291.032958984375
9;1298.966064453125
10;1390.02099609375
11;1312.423583984375
12;1290.0869140625
13;1402.244873046875
14;1296.955322265625
0;2213.020263671875
1;2191.693115234375
2;2302.68505859375
3;2200.72412109375
4;2286.28466796875
5;2312.219482421875
6;2206.223876953125
7;2196.743896484375
8;2294.396728515625
9;2304.48193359375
10;2306.453125
11;2280.67822265625
12;2297.067138671875
13;2221.015869140625
14;2284.873046875
0;4116.226806640625
1;4181.859619140625
2;4402.662353515625
3;4404.67626953125
4;4206.728271484375
5;4198.649169921875
6;4095.200927734375
7;4201.216064453125
8;4193.85546875
9;4197.882080078125
10;4205.8193359375
11;4306.820068359375
12;4298.212158203125
13;4389.6279296875
14;4214.24951171875
0;8595.559814453125
1;8400.907958984375
2;8796.975830078125
3;8395.7763671875
4;8404.8349609375
5;8485.841064453125
6;8517.760498046875
7;8680.85205078125
8;8519.580322265625
9;8579.82373046875
10;8419.53564453125
11;8406.847900390625
12;8493.5615234375
13;8793.731201171875
14;8491.05908203125
0;17308.042724609375
1;17388.174072265625
2;17416.163818359375
3;17582.688720703125
4;17407.8681640625
5;17402.026123046875
6;17808.739990234375
7;17395.645751953125
8;17401.73974609375
9;17595.35009765625
10;17691.73828125
11;17428.5625
12;17370.25830078125
13;17418.42724609375
14;17373.544921875
0;38618.271484375
1;37684.089599609375
2;38011.249755859375
3;37993.34619140625
4;38008.60302734375
5;37883.3134765625
6;37902.425048828125
7;38108.072998046875
8;38402.45166015625
9;37291.8017578125
10;37299.62353515625
11;37901.385986328125
12;37698.489013671875
13;37698.1572265625
14;37390.390869140625
